mark,model,vollume,power
Kawasaki,KX 65,65.0,19.0
Kawasaki,KX 85,85.0,1.0
Kawasaki,Ninja 1000,1010.3793103448276,101.82758620689656
Kawasaki,Ninja 1000 SX (2020-н.в.),1031.0,129.45454545454547
Kawasaki,Ninja 250R,249.90322580645162,23.70967741935484
Kawasaki,Ninja 250SL,249.0,28.0
Kawasaki,Ninja 300,298.8888888888889,39.074074074074076
Kawasaki,Ninja 400,399.93288590604027,38.241610738255034
Kawasaki,Ninja 650,649.7857142857143,58.19642857142857
Kawasaki,Ninja H2 SX,998.5833333333334,167.66666666666666
Kawasaki,VN1500 Vulcan,1495.5,49.3
Kawasaki,VN1600 Vulcan,1587.0666666666666,67.33333333333333
Kawasaki,VN1700 Vulcan,1700.0,51.43478260869565
Kawasaki,VN2000 Vulcan,2020.3846153846155,82.6923076923077
Kawasaki,VN400 Vulcan,399.85714285714283,24.0
Kawasaki,VN800 Vulcan,801.3636363636364,36.54545454545455
Kawasaki,VN900 Vulcan,900.8636363636364,43.484848484848484
Kawasaki,Versys 1000,1012.625,79.20833333333333
Kawasaki,Versys 650,651.6206896551724,48.5
Kawasaki,Versys-X 300,249.5,17.0
Kawasaki,W 400,399.5,15.5
Kawasaki,W 650,650.0,32.0
Kawasaki,W 800,787.1904761904761,30.238095238095237
Kawasaki,Z 1000,1006.5686274509804,115.19607843137256
Kawasaki,Z 1000SX,1021.1276595744681,127.09574468085107
Kawasaki,Z 125,125.0,8.333333333333334
Kawasaki,Z 250,249.8,31.0
Kawasaki,Z 250 SL,249.0,28.0
Kawasaki,Z 300,300.0,39.0
Kawasaki,Z 400,400.0,44.125
Kawasaki,Z 650,649.703125,52.25
Kawasaki,Z 650RS,649.75,68.0
Kawasaki,Z 750,749.9333333333333,94.06666666666666
Kawasaki,Z 800,800.4,88.53333333333333
Kawasaki,Z 900,942.7380952380952,113.21428571428571
Kawasaki,Z 900RS,948.75,118.83333333333333
Kawasaki,Z H2,1198.8,208.0
Kawasaki,ZG1200 Voyager,1200.0,1.0
Kawasaki,ZL1000 Eliminator,1000.0,110.0
Kawasaki,ZR 1100 Zephyr,1100.0,75.0
Kawasaki,ZR 400 Zephyr,400.0,1.0
Kawasaki,ZR 550 Zephyr,550.0,52.666666666666664
Kawasaki,ZR 750 Zephyr,738.0,76.0
Kawasaki,ZR-7,750.0,50.0
Kawasaki,ZRX 1100,1100.0,31.666666666666668
Kawasaki,ZRX 1200,1200.0,34.0
Kawasaki,ZX-10 Ninja,978.8,163.36
Kawasaki,ZX-12 Ninja,1199.8,143.8
Kawasaki,ZX-6 Ninja,622.2586206896551,100.89655172413794
Kawasaki,ZX-9 Ninja,907.0714285714286,93.07142857142857
Kawasaki,ZX1400C,1420.25,149.0
Kawasaki,ZXR 250,250.0,1.0
Kawasaki,ZXR 400,400.0,1.0
Kawasaki,ZZR 1100,1079.0,119.7
Kawasaki,ZZR 1200,1200.0,160.0
Kawasaki,ZZR 1400,1390.35,170.1
Kawasaki,ZZR 250,250.0,45.0
Kawasaki,ZZR 400,399.82758620689657,41.275862068965516
Kawasaki,ZZR 600,599.4444444444445,82.55555555555556
Suzuki,250 SB,250.0,14.0
Suzuki,B-King,1332.0,189.0
Suzuki,Bandit GSF 1200,1192.5217391304348,95.3913043478261
Suzuki,Bandit GSF 1250,1243.3529411764705,76.94117647058823
Suzuki,Bandit GSF 250,250.0,1.0
Suzuki,Bandit GSF 400,399.75,48.375
Suzuki,Bandit GSF 600,599.8571428571429,67.28571428571429
